product_id,name,category,brand,price,rating,description
80,Wildcraft Backpacks Model 758,Backpacks,Wildcraft,4162,3.8,"Spacious, durable backpacks ideal for travel and school."
81,Titan Watches Model 669,Watches,Titan,2011,4.4,Elegant watches with long battery life and sleek design.
82,Fossil Watches Model 185,Watches,Fossil,1380,4.1,Elegant watches with long battery life and sleek design.
83,boAt Headphones Model 792,Headphones,boAt,3174,4.6,"High-fidelity sound, noise cancellation, and wireless connectivity."
84,Skybags Backpacks Model 978,Backpacks,Skybags,4732,4.1,"Spacious, durable backpacks ideal for travel and school."
85,Fossil Watches Model 676,Watches,Fossil,2908,4.5,Elegant watches with long battery life and sleek design.
86,Fossil Watches Model 566,Watches,Fossil,2233,4.7,Elegant watches with long battery life and sleek design.
87,boAt Headphones Model 678,Headphones,boAt,4487,4.4,"High-fidelity sound, noise cancellation, and wireless connectivity."
88,Sony Headphones Model 102,Headphones,Sony,962,3.6,"High-fidelity sound, noise cancellation, and wireless connectivity."
89,Puma Shoes Model 354,Shoes,Puma,4065,4.6,Comfortable and stylish shoes perfect for daily wear and jogging.
90,Van Heusen Shirts Model 619,Shirts,Van Heusen,3167,4.7,Formal and casual shirts made with high-quality fabric.
91,Arrow Shirts Model 665,Shirts,Arrow,3568,4.4,Formal and casual shirts made with high-quality fabric.
92,Zara Shirts Model 844,Shirts,Zara,2658,3.8,Formal and casual shirts made with high-quality fabric.
93,Fossil Watches Model 500,Watches,Fossil,3308,4.9,Elegant watches with long battery life and sleek design.
94,JBL Headphones Model 813,Headphones,JBL,1129,4.4,"High-fidelity sound, noise cancellation, and wireless connectivity."
95,Arrow Shirts Model 827,Shirts,Arrow,3599,4.0,Formal and casual shirts made with high-quality fabric.
96,Sony Headphones Model 407,Headphones,Sony,1580,3.7,"High-fidelity sound, noise cancellation, and wireless connectivity."
97,Sony Headphones Model 824,Headphones,Sony,1951,4.0,"High-fidelity sound, noise cancellation, and wireless connectivity."
98,Wildcraft Backpacks Model 493,Backpacks,Wildcraft,4720,3.9,"Spacious, durable backpacks ideal for travel and school."
99,American Tourister Backpacks Model 660,Backpacks,American Tourister,2940,4.5,"Spacious, durable backpacks ideal for travel and school."
100,Wildcraft Backpacks Model 958,Backpacks,Wildcraft,4107,4.7,"Spacious, durable backpacks ideal for travel and school."
